epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,765.619,1.68827,1.49522,1.12917,0.36952,0.36108,0.26787,0.1073,2.05067,2.79223,1.20521,0.000713,0.000713,0.000713
67,777,1.7364,1.49758,1.10394,0.248,0.28175,0.13874,0.03857,2.48011,3.24299,1.37313,0.0006932,0.0006932,0.0006932
68,788.378,1.70953,1.48682,1.11518,0.34073,0.34199,0.23365,0.06718,2.45488,2.64273,1.35186,0.0006734,0.0006734,0.0006734
69,799.652,1.73956,1.55187,1.13603,0.09474,0.11409,0.03477,0.00759,3.51482,3.61252,1.89399,0.0006536,0.0006536,0.0006536
70,811.06,1.76231,1.47093,1.13424,0.25312,0.27679,0.14466,0.03512,2.5986,3.54355,1.44083,0.0006338,0.0006338,0.0006338
71,822.418,1.67797,1.52482,1.10415,0.27876,0.27454,0.15966,0.03446,2.7009,3.0365,1.48278,0.000614,0.000614,0.000614
72,833.835,1.71334,1.49969,1.11031,0.10336,0.12202,0.03212,0.00828,3.24113,4.07892,1.82826,0.0005942,0.0005942,0.0005942
73,845.154,1.69982,1.4938,1.10058,0.35002,0.33433,0.24483,0.07692,2.24052,2.83506,1.27926,0.0005744,0.0005744,0.0005744
74,856.485,1.70225,1.49586,1.09361,0.3262,0.29762,0.18971,0.04926,2.43304,2.70849,1.37016,0.0005546,0.0005546,0.0005546
75,867.839,1.6987,1.47551,1.10227,0.34518,0.39116,0.2474,0.0835,2.21157,2.63661,1.26808,0.0005348,0.0005348,0.0005348
76,879.143,1.68773,1.44313,1.10677,0.30857,0.29167,0.19016,0.05046,2.48165,2.90796,1.3955,0.000515,0.000515,0.000515
77,890.422,1.68373,1.46174,1.07595,0.35762,0.34623,0.2293,0.06561,2.48206,2.80708,1.36792,0.0004952,0.0004952,0.0004952
78,901.727,1.68837,1.4926,1.10432,0.35549,0.39286,0.26068,0.08786,2.22642,2.66767,1.27315,0.0004754,0.0004754,0.0004754
79,913.033,1.69004,1.50974,1.10743,0.35782,0.36508,0.24525,0.08529,2.19994,2.76489,1.2736,0.0004556,0.0004556,0.0004556
80,924.325,1.63448,1.39339,1.09871,0.11763,0.15774,0.04282,0.0089,3.24875,3.33703,1.77538,0.0004358,0.0004358,0.0004358
81,935.735,1.70485,1.40094,1.09571,0.35137,0.36111,0.23279,0.07038,2.40123,2.98912,1.33745,0.000416,0.000416,0.000416
82,947.123,1.67898,1.40249,1.1129,0.30959,0.34524,0.20825,0.0585,2.49041,3.07362,1.39477,0.0003962,0.0003962,0.0003962
83,958.464,1.68728,1.4362,1.12258,0.29021,0.30556,0.1816,0.04061,2.85404,2.77741,1.54327,0.0003764,0.0003764,0.0003764
84,969.911,1.69785,1.42637,1.08281,0.26181,0.25397,0.13503,0.02647,2.89435,3.06412,1.56068,0.0003566,0.0003566,0.0003566
85,981.399,1.67233,1.41108,1.10676,0.37391,0.34226,0.25942,0.08455,2.28715,2.55973,1.29225,0.0003368,0.0003368,0.0003368
86,992.715,1.69103,1.45519,1.09106,0.32248,0.28373,0.18392,0.04396,2.55619,3.02498,1.40891,0.000317,0.000317,0.000317
87,1004.06,1.62834,1.43549,1.11144,0.34803,0.29365,0.21443,0.05093,2.59958,2.92534,1.4257,0.0002972,0.0002972,0.0002972
88,1015.48,1.67675,1.37564,1.09718,0.38586,0.33532,0.25311,0.07432,2.38921,2.86928,1.32847,0.0002774,0.0002774,0.0002774
89,1026.9,1.6414,1.42954,1.09581,0.37909,0.32143,0.23013,0.06109,2.54199,2.63013,1.38727,0.0002576,0.0002576,0.0002576
90,1038.34,1.68203,1.42092,1.09382,0.31112,0.37004,0.2129,0.05545,2.48269,3.07999,1.37585,0.0002378,0.0002378,0.0002378
91,1056.39,1.69115,1.49942,1.16275,0.38618,0.30556,0.24343,0.08921,2.14799,2.44649,1.25969,0.000218,0.000218,0.000218
92,1067.13,1.65527,1.41361,1.14025,0.26452,0.27083,0.15892,0.03975,2.77069,2.67307,1.53355,0.0001982,0.0001982,0.0001982
93,1077.7,1.63016,1.33372,1.13606,0.26735,0.24306,0.14819,0.03665,2.79604,2.90363,1.54708,0.0001784,0.0001784,0.0001784
94,1088.2,1.6082,1.42659,1.11604,0.19261,0.19345,0.0911,0.02143,3.04379,3.17198,1.66693,0.0001586,0.0001586,0.0001586
95,1098.62,1.62711,1.3589,1.14102,0.29582,0.2877,0.17516,0.04171,2.6948,2.98047,1.47636,0.0001388,0.0001388,0.0001388
96,1109.04,1.61768,1.37896,1.14895,0.30985,0.2748,0.17617,0.0428,2.66422,2.73111,1.45903,0.000119,0.000119,0.000119
97,1119.59,1.60205,1.39503,1.12305,0.33502,0.3125,0.20957,0.05587,2.5858,2.79323,1.42086,9.92e-05,9.92e-05,9.92e-05
98,1130.05,1.61823,1.30917,1.10155,0.36495,0.30655,0.22587,0.05986,2.55562,2.83787,1.41028,7.94e-05,7.94e-05,7.94e-05
99,1140.42,1.63187,1.36795,1.14058,0.33985,0.31151,0.21627,0.05855,2.52494,2.88072,1.40257,5.96e-05,5.96e-05,5.96e-05
100,1150.85,1.61919,1.32796,1.12376,0.33192,0.32044,0.21218,0.0565,2.54387,2.90469,1.41096,3.98e-05,3.98e-05,3.98e-05
