epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1950.72,0.80226,0.50029,0.87019,0.80539,0.6881,0.74083,0.50648,1.14171,1.25698,0.97938,0.0009836,0.0009836,0.0009836
79,1975.6,0.81135,0.49738,0.87625,0.82567,0.70595,0.77161,0.5223,1.13295,1.0782,0.98102,0.0009704,0.0009704,0.0009704
80,2000.58,0.82438,0.51249,0.87482,0.82753,0.7119,0.75361,0.51552,1.12917,1.14569,0.97561,0.0009572,0.0009572,0.0009572
81,2025.38,0.79585,0.47689,0.87155,0.83436,0.70162,0.76893,0.51916,1.09793,1.06365,0.97984,0.000944,0.000944,0.000944
82,2050.17,0.7573,0.45629,0.8647,0.87699,0.70595,0.77748,0.53112,1.10694,1.03538,0.979,0.0009308,0.0009308,0.0009308
83,2075.17,0.8049,0.52079,0.87066,0.826,0.73571,0.76052,0.50407,1.10897,1.02334,0.97773,0.0009176,0.0009176,0.0009176
84,2100.1,0.76761,0.45081,0.86447,0.86489,0.7119,0.79065,0.53656,1.08227,0.9915,0.9718,0.0009044,0.0009044,0.0009044
85,2125.27,0.75561,0.45433,0.86206,0.86257,0.71731,0.7609,0.50938,1.11569,0.99999,0.98221,0.0008912,0.0008912,0.0008912
86,2150.12,0.75531,0.44022,0.86136,0.85103,0.71905,0.78111,0.52577,1.12349,1.01684,0.99006,0.000878,0.000878,0.000878
87,2174.94,0.75421,0.42623,0.86195,0.8384,0.68333,0.75137,0.51395,1.11332,1.11944,0.97911,0.0008648,0.0008648,0.0008648
88,2199.72,0.72172,0.43169,0.85381,0.85967,0.69286,0.7782,0.53767,1.08501,1.0909,0.97541,0.0008516,0.0008516,0.0008516
89,2224.6,0.71472,0.41788,0.85631,0.79529,0.65476,0.7025,0.46933,1.12896,1.20314,0.98476,0.0008384,0.0008384,0.0008384
90,2249.38,0.71325,0.41832,0.85457,0.8771,0.70595,0.78617,0.54721,1.07729,1.04332,0.97419,0.0008252,0.0008252,0.0008252
91,2274.45,0.7124,0.42282,0.85764,0.84531,0.68452,0.75759,0.5199,1.09434,1.08185,0.97809,0.000812,0.000812,0.000812
92,2299.29,0.70876,0.43629,0.85493,0.88282,0.7,0.78854,0.5458,1.09312,1.04478,0.98393,0.0007988,0.0007988,0.0007988
93,2324.27,0.68427,0.40444,0.82625,0.88462,0.72107,0.78566,0.53774,1.07165,0.976,0.9706,0.0007856,0.0007856,0.0007856
